         1076706 function calls (1074650 primitive calls) in 5.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   492069    3.292    0.000    3.292    0.000 {gypsy.increment.increment_basal_area_aw}
     7191    0.716    0.000    4.050    0.001 GYPSYNonSpatial.py:749(BAfromZeroToDataAw)
    31044    0.372    0.000    0.372    0.000 {gypsy.increment.increment_basal_area_sw}
    16426    0.186    0.000    0.186    0.000 {gypsy.increment.increment_basal_area_pl}
     5334    0.144    0.000    0.144    0.000 asaCompileAgeGivenSpSiHt.py:169(ComputeGypsyTreeHeightGivenSiteIndexAndTotalAge)
      444    0.072    0.000    0.423    0.001 GYPSYNonSpatial.py:989(BAfromZeroToDataSw)
        2    0.065    0.033    4.114    2.057 GYPSYNonSpatial.py:691(BAfactorFinder_Aw)
       10    0.060    0.006    0.323    0.032 GYPSYNonSpatial.py:578(densities_and_SCs_to_250)
     2442    0.053    0.000    0.053    0.000 GYPSYNonSpatial.py:360(densityPl)
     2409    0.051    0.000    0.051    0.000 GYPSYNonSpatial.py:325(densitySw)
      207    0.028    0.000    0.194    0.001 GYPSYNonSpatial.py:1119(BAfromZeroToDataPl)
     4926    0.026    0.000    0.081    0.000 indexing.py:1666(__setitem__)
     7853    0.023    0.000    0.023    0.000 {numpy.core.multiarray.zeros}
        1    0.023    0.023    5.600    5.600 forward_simulation.py:112(simulate_forwards_df)
    79970    0.021    0.000    0.029    0.000 {isinstance}
     1300    0.012    0.000    0.057    0.000 series.py:134(__init__)
  580/410    0.010    0.000    0.037    0.000 base.py:142(__new__)
      230    0.010    0.000    0.010    0.000 {pandas.lib.maybe_convert_objects}
     8894    0.010    0.000    0.017    0.000 __init__.py:1360(isEnabledFor)
     4926    0.009    0.000    0.033    0.000 frame.py:1900(set_value)
     4912    0.008    0.000    0.018    0.000 common.py:341(_get_dtype_type)
     4926    0.008    0.000    0.008    0.000 {method 'set_value' of 'pandas.index.IndexEngine' objects}
     8874    0.008    0.000    0.025    0.000 __init__.py:1145(debug)
     2231    0.008    0.000    0.014    0.000 generic.py:2746(__setattr__)
28562/26676    0.008    0.000    0.013    0.000 {len}
